"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2008,3299,145,1,1,7.9,76852,0,1,0,0,0,0
2008,5300,145,1,1,7.9,210000,0,1,0,0,0,0
2008,4299,160,0,1,9.3,180164,0,1,0,0,0,0
2009,3699,145,1,1,7.9,186152,1,0,0,0,0,0
2009,3500,140,1,0,5.3,335000,1,0,0,0,0,0
2009,6950,140,0,0,5.6,171000,0,0,0,1,0,0
2009,5000,116,1,0,5.9,205140,0,0,0,1,0,0
2009,2650,140,1,0,5.3,280000,0,0,0,0,1,0
2009,6000,145,1,1,7.9,147300,0,0,0,0,1,0
2009,2950,145,1,1,7.9,181000,0,0,0,0,1,0
2009,3250,220,1,1,9.3,221000,0,0,0,0,1,0
2009,3300,110,1,1,7.2,212000,0,0,0,0,1,0
2009,5890,145,1,1,7.8,189243,0,0,0,0,1,0
2009,4800,140,1,0,5.3,211000,0,0,0,0,1,0
2009,4200,125,1,1,7.2,185000,0,0,0,0,1,0
2009,4990,175,1,0,6.2,244000,0,0,0,0,1,0
2009,4950,175,1,0,6.2,220500,0,0,0,0,1,0
2009,9890,160,0,1,9.3,113552,0,0,0,0,1,0
2009,5480,140,1,0,5.9,218000,0,1,0,0,0,0
2009,4100,116,1,0,5.2,277000,0,1,0,0,0,0
2009,3500,116,1,0,5.3,320000,0,1,0,0,0,0
2009,3500,125,1,1,7.4,264646,0,1,0,0,0,0
2009,3800,125,1,1,7.4,176000,0,1,0,0,0,0
2010,6485,145,1,1,7.9,131610,1,0,0,0,0,0
2010,3900,140,1,0,5.3,189000,0,0,0,1,0,0
2010,11990,203,0,1,7.7,106395,0,0,0,0,1,0
2010,6500,140,0,0,5.6,207997,0,0,0,0,1,0
2010,7990,145,1,1,7.9,146500,0,0,0,0,1,0
2010,10999,145,1,1,7.9,115534,0,0,0,0,1,0
2010,7490,140,1,0,5.3,173000,0,0,0,0,1,0
2010,7000,145,1,1,7.9,152000,0,0,0,0,1,0
2010,5500,163,0,0,5.3,220950,0,0,0,0,1,0
2010,5500,116,1,0,5.2,240000,0,0,0,0,1,0
2010,4100,163,0,0,5.6,240000,0,0,0,0,1,0
2010,3450,140,0,0,7.1,379289,0,0,0,0,1,0
2010,9990,203,0,1,7.7,96000,0,0,0,0,1,0
2010,2900,116,1,0,5.9,335285,0,0,0,0,1,0
2010,2985,140,1,0,5.3,326390,0,0,0,0,1,0
2010,4900,140,1,0,5.3,250000,0,0,0,0,1,0
2010,4100,140,0,0,5.6,303524,0,0,0,0,1,0
2010,7500,120,1,1,6.7,143000,0,0,0,0,1,0
2010,4000,163,0,0,5.6,180000,0,0,0,0,1,0
2010,7400,145,1,1,7.8,131000,0,0,0,0,1,0
2010,3899,145,1,1,7.9,271626,0,0,0,0,1,0
2010,5000,116,1,0,5.3,205000,0,1,0,0,0,0
2010,8950,160,0,1,9.3,230320,0,1,0,0,0,0
2010,2500,175,1,0,6.2,427000,0,1,0,0,0,0
2010,4500,116,1,0,5.8,228000,0,1,0,0,0,0
2010,5000,175,1,0,6.2,250000,0,1,0,0,0,0
2010,11470,175,1,0,6.2,135911,0,1,0,0,0,0
2010,5990,140,1,0,5.3,152403,0,1,0,0,0,0
2010,7980,116,1,0,5.3,112345,0,1,0,0,0,0
2010,6490,125,1,1,7.4,136000,0,1,0,0,0,0
2010,9000,145,1,1,7.9,16000,0,1,0,0,0,0
2010,6450,125,1,1,7.4,144000,0,1,0,0,0,0
2010,5000,239,0,1,7.7,172580,0,0,0,0,0,1
2011,8999,239,0,1,7.6,146824,1,0,0,0,0,0
2011,7990,203,0,1,7.7,169701,1,0,0,0,0,0
2011,6990,120,1,1,6.7,145709,1,0,0,0,0,0
2011,7300,200,1,0,6,209000,0,0,0,1,0,0
2011,10000,163,0,0,4.9,145000,0,0,0,1,0,0
2011,6400,140,1,0,4.9,235000,0,0,0,1,0,0
2011,7950,140,1,0,5.3,170000,0,0,0,1,0,0
2011,6499,200,1,0,6,261750,0,0,0,1,0,0
2011,5500,200,1,0,6,240744,0,0,0,0,1,0
2011,4400,163,0,0,4.9,367000,0,0,0,0,1,0
2011,7300,160,1,1,6.4,124530,0,0,0,0,1,0
2011,6999,116,1,0,4.9,193760,0,0,0,0,1,0
2011,8500,120,1,1,6.8,155655,0,0,0,0,1,0
2011,3300,120,1,1,6.7,126018,0,0,0,0,1,0
2011,22999,200,1,0,6,117200,0,0,0,0,1,0
2011,7900,200,1,0,6,191000,0,0,0,0,1,0
2011,7290,120,1,1,6.7,139000,0,0,0,0,1,0
2011,8999,163,0,0,4.9,140200,0,0,0,0,1,0
2011,10580,200,1,0,6,149600,0,0,0,0,1,0
2011,9200,200,0,0,6.5,162333,0,0,0,0,1,0
2011,3695,116,1,0,4.9,236626,0,1,0,0,0,0
2011,5950,140,1,0,4.9,199500,0,1,0,0,0,0
2011,9999,140,1,0,4.9,248000,0,1,0,0,0,0
2011,10499,140,1,0,5.3,54840,0,1,0,0,0,0
2011,5700,200,0,0,6,140568,0,1,0,0,0,0
2011,9300,120,1,1,6.7,112000,0,1,0,0,0,0
2011,9950,163,0,0,4.9,155887,0,1,0,0,0,0
2011,9500,120,1,1,6.8,82200,0,1,0,0,0,0
2011,5900,140,0,0,7.1,235000,0,1,0,0,0,0
2011,7000,200,1,0,6,211000,0,0,0,0,0,1
2011,7000,200,1,0,6,211000,0,0,0,0,0,1
2012,6700,140,0,0,5.6,192475,1,0,0,0,0,0
2012,8500,203,1,1,7.6,230000,0,0,0,1,0,0
2012,10887,140,0,0,7.1,137289,0,0,0,0,1,0
2012,10490,163,0,0,4.9,121026,0,0,0,0,1,0
2012,9490,160,1,1,6.4,159134,0,0,0,0,1,0
2012,8500,203,0,1,7.7,167000,0,0,0,0,1,0
2012,6699,163,0,0,4.9,222000,0,0,0,0,1,0
2012,6999,116,1,0,4.3,160000,0,0,0,0,1,0
2012,7499,200,0,0,6.5,220000,0,0,0,0,1,0
2012,4400,120,1,1,6.7,210000,0,0,0,0,1,0
2012,8700,140,1,0,4.9,198000,0,0,0,0,1,0
2012,6550,116,1,0,4.9,167000,0,0,0,0,1,0
2012,9250,140,1,0,4.9,145000,0,0,0,0,1,0
2012,9990,163,0,0,5.6,172100,0,0,0,0,1,0
2012,6400,200,1,0,6,292000,0,0,0,0,1,0
2012,8399,163,1,0,4.6,150000,0,0,0,0,1,0
2012,8950,140,1,0,4.9,176515,0,0,0,0,1,0
2012,10990,140,1,0,4.9,159000,0,0,0,0,1,0
2012,10499,163,1,0,4.9,134234,0,0,0,0,1,0
2012,5490,163,1,0,4.9,97200,0,0,0,0,1,0
2012,9290,160,1,1,6.4,140000,0,0,0,0,1,0
2012,4400,203,0,1,7.6,126000,0,0,0,0,1,0
2012,3850,140,0,0,7.1,231225,0,0,0,0,1,0
2012,4250,116,1,0,4.9,177569,0,1,0,0,0,0
2012,4300,140,1,0,5.6,300000,0,1,0,0,0,0
2012,4500,140,0,0,5.6,297409,0,1,0,0,0,0
2012,9500,239,0,1,7.7,94000,0,1,0,0,0,0
2012,3800,160,1,1,6.4,91200,0,1,0,0,0,0
2012,11900,140,0,0,7.1,320000,0,1,0,0,0,0
2012,5200,140,0,0,5.6,298000,0,1,0,0,0,0
2012,7500,163,0,0,5.6,305000,0,1,0,0,0,0
2013,6990,200,0,0,6,270000,1,0,0,0,0,0
2013,5490,116,1,0,4.3,270700,1,0,0,0,0,0
2013,13000,203,0,1,7.7,123000,1,0,0,0,0,0
2013,5850,140,1,0,4.9,275000,0,0,0,1,0,0
2013,9799,160,1,1,6.4,117000,0,0,0,1,0,0
2013,4000,160,1,1,6.4,161100,0,0,0,1,0,0
2013,9990,140,1,0,4.9,129000,0,0,1,0,0,0
2013,6000,160,1,1,6.4,239000,0,0,1,0,0,0
2013,8700,140,0,0,4.9,271569,0,0,0,0,1,0
2013,9499,163,0,0,4.9,182000,0,0,0,0,1,0
2013,12990,200,1,0,6,126400,0,0,0,0,1,0
2013,8200,140,0,0,5.6,189600,0,0,0,0,1,0
2013,13999,200,0,0,6,135000,0,0,0,0,1,0
2013,7850,116,1,0,4.3,165675,0,0,0,0,1,0
2013,11700,239,1,1,7.6,130000,0,0,0,0,1,0
2013,6990,160,1,1,6.4,138000,0,0,0,0,1,0
2013,10199,160,1,1,6.4,126000,0,0,0,0,1,0
2013,8999,140,1,0,4.9,143000,0,0,0,0,1,0
2013,10490,140,1,0,4.9,146000,0,0,0,0,1,0
2013,6880,163,0,0,4.9,266000,0,0,0,0,1,0
2013,8900,203,0,1,7.6,113000,0,0,0,0,1,0
2013,13490,140,1,0,4.9,48000,0,1,0,0,0,0
2013,5800,140,1,0,4.6,149890,0,1,0,0,0,0
2013,8500,163,0,0,5.6,153000,0,1,0,0,0,0
2013,7490,140,1,0,5.3,249980,0,1,0,0,0,0
2013,7880,160,1,1,6.4,175000,0,1,0,0,0,0
2013,9299,160,1,1,6.4,88000,0,1,0,0,0,0
2013,9450,200,1,0,6,160300,0,0,0,0,0,1
2013,8750,116,1,0,4.9,136000,0,0,0,0,0,1
2013,7500,203,0,1,7.7,166680,0,0,0,0,0,1
2013,14899,239,0,1,7.7,110500,0,0,0,0,0,1
2013,6000,163,0,0,5.6,320000,0,0,0,0,0,1
2013,5300,140,0,0,7.1,188000,0,0,0,0,0,1
2014,11900,140,0,0,5.9,36218,1,0,0,0,0,0
2014,11900,140,0,0,5.6,45000,1,0,0,0,0,0
2014,8580,140,0,0,7.7,86200,1,0,0,0,0,0
2014,6900,116,1,0,4.9,190000,1,0,0,0,0,0
2014,7000,239,0,1,7.6,165000,1,0,0,0,0,0
2014,12400,163,0,0,4.9,97880,1,0,0,0,0,0
2014,9900,140,0,0,4.6,184950,1,0,0,0,0,0
2014,10850,140,1,0,5.9,107487,1,0,0,0,0,0
2014,13999,203,1,1,7.7,99500,1,0,0,0,0,0
2014,6990,140,1,0,5.3,203500,1,0,0,0,0,0
2014,13750,203,1,1,7.7,136000,1,0,0,0,0,0
2014,9500,200,1,0,6,160000,0,0,0,1,0,0
2014,7500,200,1,0,6.5,234000,0,0,0,1,0,0
2014,12495,200,0,0,6,126300,0,0,0,1,0,0
2014,11890,150,1,0,4.8,220900,0,0,0,1,0,0
2014,11490,150,0,0,4.9,174650,0,0,0,1,0,0
2014,10999,179,1,0,4.5,191000,0,0,1,0,0,0
2014,9950,160,1,1,6.4,91000,0,0,0,0,1,0
2014,9990,200,1,0,6,189990,0,0,0,0,1,0
2014,15000,160,1,1,6.4,100000,0,0,0,0,1,0
2014,12400,200,0,0,6.5,180000,0,0,0,0,1,0
2014,9000,160,1,1,6.4,107455,0,0,0,0,1,0
2014,8350,140,1,0,4.9,168134,0,0,0,0,1,0
2014,10950,200,1,0,6,205000,0,0,0,0,1,0
2014,13950,116,1,0,4.9,85000,0,0,0,0,1,0
2014,8200,200,0,0,6.5,210089,0,0,0,0,1,0
2014,9690,140,0,0,4.9,187238,0,0,0,0,1,0
2014,6500,140,0,0,7.1,229742,0,0,0,0,1,0
2014,7999,116,1,0,4.3,128200,0,1,0,0,0,0
2014,11650,163,0,0,4.9,126080,0,1,0,0,0,0
2014,9799,140,0,0,4.9,180000,0,1,0,0,0,0
2014,10490,140,0,0,4.9,120500,0,1,0,0,0,0
2014,12950,203,1,1,7.7,122650,0,1,0,0,0,0
2014,11450,120,1,1,6.7,78590,0,0,0,0,0,1
2014,16675,200,1,0,6,97850,0,0,0,0,0,1
2015,10500,150,1,0,4.8,230000,1,0,0,0,0,0
2015,12890,150,1,0,4.2,103000,1,0,0,0,0,0
2015,10700,150,1,0,4.8,188000,1,0,0,0,0,0
2015,13349,150,1,0,4.2,131403,1,0,0,0,0,0
2015,8490,160,1,1,5.8,224200,1,0,0,0,0,0
2015,16780,160,1,1,5.9,51924,1,0,0,0,0,0
2015,13840,160,1,1,6,100061,0,0,0,0,0,0
2015,13690,160,1,1,5.8,132363,0,0,0,0,0,0
2015,17450,179,1,0,4.5,63000,0,0,0,1,0,0
2015,15990,160,1,1,6,85000,0,0,0,1,0,0
2015,16950,203,0,1,7.6,102420,0,0,0,1,0,0
2015,16550,160,1,1,6,73825,0,0,0,1,0,0
2015,11497,150,1,0,4.5,206000,0,0,0,1,0,0
2015,13990,179,0,0,5.6,149679,0,0,0,1,0,0
2015,11999,179,1,0,4.8,149500,0,0,0,1,0,0
2015,16999,179,0,0,4.9,91774,0,0,0,1,0,0
2015,11999,179,0,0,4.6,206000,0,0,0,1,0,0
2015,10790,179,0,0,4.9,178500,0,0,0,1,0,0
2015,15400,179,0,0,5.6,110000,0,0,0,1,0,0
2015,17990,160,0,1,6.6,51033,0,0,0,1,0,0
2015,15499,150,0,0,4.9,55000,0,0,0,1,0,0
2015,15990,160,1,1,5.9,102133,0,0,0,1,0,0
2015,21990,203,0,1,7.6,43039,0,0,0,1,0,0
2015,16990,179,0,0,4.5,81291,0,0,0,1,0,0
2015,14900,116,1,0,4.3,97350,0,0,0,1,0,0
2015,18790,211,0,0,5.2,101607,0,0,0,1,0,0
2015,22000,203,0,1,7.5,88000,0,0,0,1,0,0
2015,17980,160,1,1,5.9,91990,0,0,0,1,0,0
2015,14990,160,1,1,6,123922,0,0,0,1,0,0
2015,18740,160,1,1,5.9,92066,0,0,0,1,0,0
2015,13899,150,1,0,4.8,159000,0,0,0,1,0,0
2015,9390,160,1,1,6,191400,0,0,0,1,0,0
2015,15990,160,1,1,6,113161,0,0,0,1,0,0
2015,13500,209,0,0,5,210000,0,0,0,1,0,0
2015,17390,160,1,1,5.8,35194,0,0,0,1,0,0
2015,12600,150,0,0,4.9,228900,0,0,0,1,0,0
