"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2010,11490,140,0,0,6.4,177113,0,0,0,0,1,0
2010,11999,140,1,0,6.4,100853,0,0,0,0,1,0
2010,9400,150,1,1,8,145000,0,0,0,0,1,0
2010,14990,140,0,0,6.4,182120,0,0,0,0,1,0
2010,9900,140,0,0,7.1,195000,0,0,0,0,1,0
2010,9900,140,0,0,6.4,217870,0,0,0,0,1,0
2010,7600,150,1,1,6.7,230900,0,0,0,0,1,0
2010,11999,140,0,0,7.1,161450,0,0,0,0,1,0
2010,9999,150,1,1,6.7,151000,0,0,0,0,1,0
2010,8900,140,0,0,6.3,228000,0,0,0,0,1,0
2010,8350,140,1,0,6.3,225000,0,0,0,0,1,0
2010,6550,150,1,1,6.7,190000,0,0,0,0,1,0
2010,3950,170,0,1,9.9,156100,0,0,0,0,1,0
2010,10500,150,1,1,6.7,97200,0,0,0,0,1,0
2010,12600,200,1,1,8.5,100900,0,0,0,0,1,0
2010,10990,140,0,0,6.4,204000,0,0,0,0,1,0
2010,6899,140,1,0,6.4,235236,0,0,0,0,1,0
2010,8000,150,1,1,6.7,187000,0,0,0,0,1,0
2010,10980,150,1,1,8,107954,0,0,0,0,1,0
2010,10950,150,1,1,8,114000,0,0,0,0,1,0
2010,11999,140,0,0,7.1,184996,0,0,0,0,1,0
2010,8999,170,1,1,8.5,187000,0,0,0,0,1,0
2010,7950,200,1,1,8.5,199000,0,0,0,0,1,0
2010,14499,170,1,0,6.6,67000,0,0,0,0,1,0
2010,9700,140,0,0,6.4,228000,0,0,0,0,1,0
2010,11950,140,1,0,5.3,98900,0,0,0,0,1,0
2010,14890,140,0,0,7.1,98000,0,0,0,0,1,0
2010,10900,170,1,0,6.6,199898,0,0,0,0,1,0
2010,11950,140,1,0,5.3,149000,0,0,0,0,1,0
2010,10980,140,1,0,5.3,130588,0,1,0,0,0,0
2010,8100,140,1,0,5.3,191000,0,1,0,0,0,0
2010,14000,200,0,1,9.9,91000,0,1,0,0,0,0
2010,11890,150,1,1,8,129000,0,1,0,0,0,0
2010,7000,140,1,0,6.3,240000,0,1,0,0,0,0
2010,10450,150,1,1,6.7,98000,0,1,0,0,0,0
2010,19999,140,1,0,5.5,110000,0,1,0,0,0,0
2010,13950,170,0,1,8.6,61000,0,1,0,0,0,0
2010,10800,140,0,0,7.1,199999,0,1,0,0,0,0
2010,7950,140,0,0,7.1,217020,0,1,0,0,0,0
2010,15580,200,0,1,8.6,53232,0,0,0,0,0,1
2010,10999,150,1,1,6.7,131500,0,0,0,0,0,1
2010,9900,170,1,1,8.5,137800,0,0,0,0,0,1
2010,13900,140,0,0,6.4,152099,0,0,0,0,0,1
2010,8500,140,0,0,7.1,155185,0,0,0,0,0,1
2010,11499,150,1,1,6.7,94000,0,0,0,0,0,1
2010,9999,150,1,1,7.4,112000,0,0,0,0,0,1
2010,11950,140,1,0,6.9,150000,0,0,0,0,0,1
2010,10900,170,1,0,6.3,163000,0,0,0,0,0,1
2010,14990,140,0,0,7.1,120000,0,0,0,0,0,1
2010,9100,150,1,1,6.7,151329,0,0,0,0,0,1
2010,11290,150,1,1,6.7,127000,0,0,0,0,0,1
2010,7750,140,1,0,6.4,270000,0,0,0,0,0,1
2010,9990,150,1,1,6,142000,0,0,0,0,0,1
2010,11500,140,1,0,6.3,219190,0,0,0,0,0,1
2010,14850,140,0,0,6.4,162000,0,0,0,0,0,1
2010,6500,150,1,1,6.7,138814,0,0,0,0,0,1
2010,7000,150,1,1,8,90000,0,0,0,0,0,1
