"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white","k_group"
2008,2749,145,1,1,7.5,268195,1,0,0,0,0,0,1
2008,3430,101,1,1,6.7,223025,0,0,0,1,0,0,1
2008,2300,109,1,0,4.5,278000,0,0,0,1,0,0,1
2008,1500,109,1,0,4.5,220000,0,0,0,1,0,0,1
2008,1450,109,1,0,4.3,228000,0,0,0,1,0,0,1
2008,2999,101,1,1,6.7,218000,0,0,0,1,0,0,1
2008,7990,101,1,1,5.7,63900,0,0,0,1,0,0,2
2008,7990,101,1,1,5.7,63900,0,0,0,1,0,0,2
2008,4990,145,1,1,7.5,208550,0,0,0,1,0,0,1
2008,5450,109,1,0,4.5,168000,0,0,0,1,0,0,3
2008,4500,80,1,1,6.6,108000,0,0,0,1,0,0,3
2008,2290,116,1,1,6.6,200696,0,0,0,1,0,0,1
2008,3849,109,1,0,4.5,196725,0,0,0,1,0,0,1
2008,4900,101,0,1,7.7,238752,0,0,0,1,0,0,1
2008,3400,109,1,0,4.3,216000,0,0,0,1,0,0,1
2008,3990,116,1,1,6.6,143000,0,0,0,0,1,0,3
2008,3999,116,1,1,6.6,132000,0,0,0,0,1,0,3
2008,6299,136,1,0,5.9,138000,0,0,0,0,1,0,3
2008,4000,116,1,1,6.6,143604,0,0,0,0,1,0,3
2008,4500,136,1,0,5.9,176655,0,0,0,0,1,0,1
2008,5990,101,1,1,6.7,81000,0,0,0,0,1,0,3
2008,3500,125,1,1,7,152000,0,0,0,0,1,0,3
2008,1982,101,1,1,7.1,192520,0,0,0,0,1,0,1
2008,4999,116,1,1,6.6,100000,0,0,0,0,1,0,3
2008,1750,116,1,1,6.6,240000,0,0,0,0,1,0,1
2008,5990,80,1,1,6.6,151944,0,0,0,0,1,0,3
2008,5990,116,1,1,6.6,143000,0,0,0,0,1,0,3
2008,3000,125,1,1,7,207222,0,0,0,0,1,0,1
2008,2999,125,1,1,7,174400,0,0,0,0,1,0,3
2008,4499,136,1,0,5.6,267838,0,0,0,0,1,0,1
2008,3100,116,1,1,6.6,260000,0,0,0,0,1,0,1
2008,4390,145,1,1,7.1,159990,0,0,0,0,1,0,3
2008,6500,226,1,1,9.3,211000,0,0,0,0,1,0,1
2008,2250,136,1,0,5.6,262565,0,0,0,0,1,0,1
2008,7950,145,1,1,7.5,113000,0,0,0,0,1,0,3
2008,9950,145,1,1,7.5,87235,0,0,0,0,1,0,3
2008,4990,145,1,1,7.1,158112,0,0,0,0,1,0,3
2008,3999,116,1,1,6.6,185000,0,0,0,0,1,0,1
2008,3399,125,1,1,7,195876,0,0,0,0,1,0,1
2008,4799,109,1,0,4.8,161000,0,1,0,0,0,0,3
2008,4499,101,1,1,6.7,174000,0,1,0,0,0,0,3
2008,5600,101,1,1,6.7,83930,0,1,0,0,0,0,3
2008,5990,101,1,1,6.7,87995,0,1,0,0,0,0,3
2008,4499,145,1,1,7.5,184300,0,1,0,0,0,0,1
2008,2200,116,1,1,6.6,184000,0,1,0,0,0,0,1
2008,4900,80,1,1,6.6,22800,0,1,0,0,0,0,2
2008,2190,109,1,0,4.5,190978,0,1,0,0,0,0,1
2008,4500,125,1,1,7,134000,0,1,0,0,0,0,3
2008,6499,101,1,1,6.7,55000,0,1,0,0,0,0,2
2008,4500,101,1,1,6.7,144000,0,1,0,0,0,0,3
2008,5990,101,1,1,6.7,95000,0,1,0,0,0,0,3
2008,8990,109,1,0,4.5,132554,0,1,0,0,0,0,3
2008,4500,136,1,0,5.6,197000,0,1,0,0,0,0,1
2008,3599,101,0,1,7.7,55500,0,1,0,0,0,0,2
2008,3499,101,1,1,6.7,133000,0,1,0,0,0,0,3
2008,2800,101,1,1,6.7,160500,0,1,0,0,0,0,3
2008,3799,101,1,1,6.9,153000,0,1,0,0,0,0,3
2008,6490,101,1,1,6.7,149854,0,1,0,0,0,0,3
2008,6499,101,0,1,7.7,116600,0,1,0,0,0,0,3
2008,3999,101,1,1,6.7,161000,0,1,0,0,0,0,3
2008,4790,101,1,1,6.7,147861,0,1,0,0,0,0,3
2008,3890,101,1,1,6.7,210563,0,1,0,0,0,0,1
2008,4890,116,1,1,6.6,155998,0,1,0,0,0,0,3
2008,4600,101,1,1,6.7,142000,0,1,0,0,0,0,3
2008,3500,109,1,0,4.5,183000,0,1,0,0,0,0,1
2008,1900,101,1,1,6.7,255000,0,1,0,0,0,0,1
2008,3250,109,1,0,4.5,334570,0,1,0,0,0,0,1
2009,5750,101,1,1,6.7,98000,1,0,0,0,0,0,3
2009,2950,101,1,1,6.7,199000,1,0,0,0,0,0,1
2009,44990,305,1,1,9.4,56906,1,0,0,0,0,0,2
2009,44999,305,1,1,9.4,41906,1,0,0,0,0,0,2
2009,2450,109,1,0,4.5,230000,1,0,0,0,0,0,1
2009,3650,101,1,1,6.7,174547,1,0,0,0,0,0,3
2009,3990,80,1,1,6.6,115485,1,0,0,0,0,0,3
2009,3990,101,1,1,6.7,158000,1,0,0,0,0,0,3
2009,6600,145,1,1,7.1,138591,1,0,0,0,0,0,3
2009,4950,90,1,0,4.5,122398,1,0,0,0,0,0,3
2009,5490,125,1,1,7,158000,1,0,0,0,0,0,3
2009,4250,80,1,1,6.6,123800,1,0,0,0,0,0,3
2009,7200,101,1,1,6.7,103000,1,0,0,0,0,0,3
2009,6900,101,1,1,6.7,170000,1,0,0,0,0,0,3
2009,3650,101,1,1,6.7,346000,1,0,0,0,0,0,1
2009,2300,110,0,0,5.8,238000,1,0,0,0,0,0,1
2009,1950,125,1,1,7,142116,1,0,0,0,0,0,3
2009,5850,101,1,1,6.7,44000,0,0,0,1,0,0,2
2009,5990,101,0,1,7.7,123000,0,0,0,1,0,0,3
2009,3299,101,1,1,6.7,241499,0,0,0,1,0,0,1
2009,6480,101,1,1,6.4,63963,0,0,0,1,0,0,2
2009,6990,125,1,1,7,81800,0,0,0,1,0,0,3
2009,6999,136,1,0,5.5,183000,0,0,0,1,0,0,1
2009,6890,101,1,1,7.1,64200,0,0,1,0,0,0,2
2009,3250,80,1,1,6.6,225955,0,0,1,0,0,0,1
2009,3950,116,1,1,6.6,123150,0,0,0,0,1,0,3
2009,16660,116,1,1,6.6,199406,0,0,0,0,1,0,1
2009,4800,116,1,1,6.6,125000,0,0,0,0,1,0,3
2009,5000,125,1,1,7,149000,0,0,0,0,1,0,3
2009,3600,145,1,1,7.5,224729,0,0,0,0,1,0,1
2009,3299,109,1,0,4.5,195000,0,0,0,0,1,0,1
2009,3500,101,1,1,6.7,192000,0,0,0,0,1,0,1
