,해양수산부문 국가 온실가스 배출량 산정결과(1990-2016),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1. 기간 : ,1990 ~ 2016년,,,,,,,,,,,,,,,,
,2. 단위 :,Gg CO2,,,,,,,,,,,,,,,,
,3. 산정방법 : ,[Gg CO2eq] = [Gg CO2] + [Gg CH4]ⅹ21 + [Gg N2O]ⅹ310,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,년도,CRF code,배출원, 합계 ,휘발유,실내등유,보일러등유,경유,경질중유,중유,방카C유,JETA-1,프로판,부탄,윤활유,기타제품,부생연료유1호,부생연료유2호
,,1.C.b.,  국제해운," 32,406.94 ", - , - , - ," 2,773.30 ", 281.89 , 0.75 ," 29,350.99 ", - , - , - , - , - , - , - 
,,,어업," 3,352.01 ", 281.43 , 0.18 , - ," 2,776.77 ", 140.90 , 19.01 , 131.39 , - , 0.76 , 0.13 , - , - , 1.26 , 0.18 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2007,1.A.3.d.,  국내해운," 2,585.87 ", 0.18 , 0.15 , - , 799.62 , 321.29 , 99.84 ," 1,363.70 ", - , 1.03 , - , - , - , 0.06 , - 
,,1.C.b.,  국제해운," 29,491.02 ", - , - , - ," 2,613.04 ", 340.97 , 15.56 ," 26,521.44 ", 0.02 , - , - , - , - , - , - 
,,,어업," 3,237.96 ", 268.72 , 0.24 , - ," 2,709.84 ", 111.98 , 16.40 , 128.41 , - , 0.95 , - , - , - , 1.34 , 0.10 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2008,1.A.3.d.,  국내해운," 2,622.77 ", 0.16 , 0.10 , - , 749.38 , 283.36 , 100.33 ," 1,479.07 ", - , 5.27 , - , - , 5.06 , 0.06 , - 
,,1.C.b.,  국제해운," 28,080.67 ", - , - , - ," 2,350.03 ", 314.99 , 11.85 ," 25,403.79 ", - , - , - , - , - , - , - 
,,,어업," 2,516.47 ", 249.20 , 0.18 , - ," 2,058.24 ", 81.97 , 17.31 , 106.26 , - , 1.10 , - , - , - , 0.32 , 1.88 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2009,1.A.3.d.,  국내해운," 2,425.94 ", - , 0.03 , - , 599.64 , 337.42 , 71.66 ," 1,415.96 ", - , 1.23 , - , - , - , - , - 
,,1.C.b.,  국제해운," 25,399.68 ", - , 0.05 , - ," 1,966.82 ", 245.53 , 37.98 ," 23,149.29 ", - , - , - , - , - , - , - 
,,,어업," 2,820.39 ", 249.43 , 0.01 , - ," 2,327.22 ", 113.98 , 18.55 , 110.56 , - , 0.30 , 0.08 , - , - , 0.22 , 0.02 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2010,1.A.3.d.,  국내해운," 2,268.90 ", - , 0.03 , - , 597.67 , 316.29 , 72.54 ," 1,281.33 ", - , 1.05 , - , - , - , - , - 
,,1.C.b.,  국제해운," 26,725.37 ", - , 0.02 , - ," 2,020.52 ", 351.33 , 45.16 ," 24,308.34 ", - , - , - , - , - , - , - 
,,,어업," 2,760.83 ", 227.90 , 0.44 , - ," 2,310.91 ", 111.99 , 17.87 , 91.08 , - , 0.34 , - , - , - , 0.30 , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2011,1.A.3.d.,  국내해운," 2,262.82 ", - , 0.61 , - , 565.92 , 357.07 , 63.70 ," 1,274.66 ", - , 0.86 , - , - , - , - , - 
,,1.C.b.,  국제해운," 26,349.06 ", - , 0.03 , - ," 1,707.15 ", 380.34 , 45.24 ," 24,216.29 ", - , - , - , - , - , - , - 
,,,어업," 2,496.86 ", 223.93 , 0.34 , - ," 2,108.15 ", 74.53 , 17.08 , 72.30 , - , 0.32 , 0.00 , - , - , 0.22 , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
