"year","price_in_euro","mileage_in_km","price_category"
2020,22799,20500,2
2020,21990,34648,2
2020,16990,85000,1
2020,19550,36423,1
2020,16500,93127,1
2020,16500,74312,1
2020,16500,74751,1
2020,21990,32290,2
2020,29900,16400,2
2020,15859,74542,1
2020,15687,66346,1
2020,21700,38664,2
2020,14989,145000,1
2020,29990,18900,2
2020,15645,74538,1
2020,15645,74538,1
2020,20150,30290,2
2020,16497,65604,1
2020,17790,86050,1
2020,13880,95800,1
2020,17153,55246,1
2020,15480,76369,1
2020,22190,32290,2
2020,21690,30000,2
2020,23222,10000,2
2020,25000,70000,2
2020,22750,23000,2
2020,19500,62000,1
2020,22490,59000,2
2020,22940,22960,2
2020,23490,22774,2
2020,22740,22960,2
2020,15950,120400,1
2020,21790,26400,2
2020,16600,119400,1
2020,23990,40156,2
2020,21990,39000,2
2020,21899,37000,2
2020,19550,38095,1
2020,22950,68050,2
2020,18980,85772,1
2020,23690,22774,2
2020,29280,37347,2
2020,27980,39800,2
2020,21980,41089,2
2020,20749,62750,2
2020,24890,3860,2
2020,24800,12073,2
2020,19300,39850,1
2020,17990,50850,1
2020,11890,152190,1
2020,25990,47500,2
2020,20580,74666,2
2020,20580,60682,2
2020,20200,49800,2
2020,19290,58158,1
2020,22990,35726,2
2020,17949,31100,1
2020,20150,30926,2
2020,20990,72057,2
2020,22788,26880,2
2020,21790,18500,2
2020,23840,72900,2
2020,18860,103370,1
2020,26900,49000,2
2020,13880,164100,1
2020,17450,88000,1
2020,18900,58900,1
2020,12700,46800,1
2020,17480,69437,1
2020,15790,126786,1
2020,20290,63700,2
2020,21900,55000,2
2020,16890,100000,1
2020,20970,47471,2
2020,21649,59750,2
2020,21480,75682,2
2020,23890,31900,2
2021,24980,54555,2
2021,28900,27000,2
2021,17880,74100,1
2021,16430,108295,1
2021,22999,34000,2
2021,16999,103800,1
2021,21980,72856,2
2021,25400,32200,2
2021,24950,36450,2
2021,18800,95325,1
2021,17490,63504,1
2021,25950,44210,2
2021,19790,93500,1
2021,24900,23500,2
2021,13979,179000,1
2021,13979,180000,1
2021,23500,39900,2
2023,34980,3000,3
2023,34980,3000,3
2023,31375,7500,3
